number,arabic_name,transliteration,english_meaning,visual_theme,flux_prompt
40,غافر,Ghafir,The Forgiver,gentle rain washing over parched ground,"soft gentle rain falling over cracked parched desert ground, renewal and mercy mood, no figures, no text"
41,فصلت,Fussilat,Explained in Detail,an intricate mosaic pattern in close detail,"an intricate geometric Islamic mosaic tilework pattern shown in close detail, richly layered symmetry, no text"
42,الشورى,Ash-Shuraa,The Consultation,a circle of lanterns around an empty courtyard,"a circle of glowing lanterns surrounding an empty stone courtyard, symbolizing consultation and community, no figures, no text"
43,الزخرف,Az-Zukhruf,The Gold Adornments,ornate gold filigree patterns,"richly detailed ornate gold filigree decorative pattern catching warm light, luxurious texture, no text"
44,الدخان,Ad-Dukhan,The Smoke,a wisp of smoke rising into a red sky,"a thin wisp of dark smoke rising into a dramatic red-orange sky, ominous and striking, no figures, no text"
45,الجاثية,Al-Jathiyah,The Crouching,a low mountain range beneath a heavy sky,"a low crouching mountain range beneath a heavy overcast sky, humble and weighty mood, no figures, no text"
46,الأحقاف,Al-Ahqaf,The Wind-Curved Sandhills,rippling desert dunes carved by wind,"vast rippling sand dunes shaped by wind, dramatic shadow patterns at sunset, no figures, no text"
47,محمد,Muhammad,Muhammad,a single olive branch in soft light,"a single olive branch with leaves glowing in soft warm light against a plain neutral background, peace symbolism, no figures, no text"
48,الفتح,Al-Fath,The Victory,dawn light breaking over an open gate,"dawn light breaking gloriously over a grand open stone gate, victorious and hopeful mood, no figures, no text"
49,الحجرات,Al-Hujurat,The Rooms,a row of doorways in a quiet stone hallway,"a row of arched doorways along a quiet sunlit stone hallway, symbolizing private rooms and etiquette, no figures, no text"
50,ق,Qaf,Qaf,a solitary mountain peak piercing clouds,"a solitary dramatic mountain peak piercing through clouds at sunrise, majestic and vast, no figures, no text"
51,الذاريات,Adh-Dhariyat,The Winnowing Winds,wheat chaff scattering in the wind,"golden wheat chaff scattering dramatically in strong wind against a bright sky, dynamic motion, no figures, no text"
52,الطور,At-Tur,The Mount,a rugged mountain wrapped in clouds,"a rugged solitary mountain wrapped in low clouds at dawn, sacred and still, no figures, no text"
53,النجم,An-Najm,The Star,a brilliant star descending over dark hills,"a single brilliant star streaking softly down over dark silhouetted hills, celestial and quiet, no figures, no text"
54,القمر,Al-Qamar,The Moon,a full moon split by soft cloud,"a luminous full moon partially veiled by soft drifting clouds, dramatic night sky, no figures, no text"
55,الرحمن,Ar-Rahman,The Beneficent,twin gardens with flowing fountains,"two mirrored lush gardens with flowing fountains and abundant greenery, paradise-like symmetry, no figures, no text"
56,الواقعة,Al-Waqi'ah,The Inevitable,a horizon split between storm and clear sky,"a dramatic horizon split between a dark storm on one side and clear golden sky on the other, symbolizing inevitable outcomes, no figures, no text"
57,الحديد,Al-Hadid,The Iron,forged iron patterns glowing with heat,"close-up of forged iron with glowing ember-orange patterns, strength and craftsmanship, no figures, no text"
58,المجادلة,Al-Mujadila,The Pleading Woman,a quiet curtained doorway in soft light,"a quiet curtained doorway with soft light filtering through fabric, intimate and contemplative, no figures, no text"
59,الحشر,Al-Hashr,The Exile,palm trees left behind in an empty field,"a row of tall palm trees standing in an otherwise empty field at dusk, quiet and solemn, no figures, no text"
60,الممتحنة,Al-Mumtahanah,She That Is To Be Examined,a set of scales balanced in soft light,"an old brass balance scale in perfect equilibrium, softly lit, symbolizing testing and examination, no figures, no text"
61,الصف,As-Saf,The Ranks,tall trees in a straight orderly row,"tall cypress trees standing in a perfectly straight orderly row along a path, disciplined symmetry, no figures, no text"
62,الجمعة,Al-Jumu'ah,The Congregation Friday,rows of prayer mats in a sunlit courtyard,"neat rows of textile prayer mats laid out in a sunlit stone courtyard, communal and peaceful, no figures, no text"
63,المنافقون,Al-Munafiqun,The Hypocrites,a cracked mask lying in shadow,"a cracked decorative mask lying half in shadow half in light, symbolizing concealment and duality, no figures, no text"
64,التغابن,At-Taghabun,The Mutual Disillusion,two paths diverging in a foggy field,"two paths diverging in a foggy open field at dawn, one bright one dim, symbolizing differing outcomes, no figures, no text"
65,الطلاق,At-Talaq,The Divorce,a single thread unraveling from woven cloth,"a close-up of a single thread unraveling gently from an intricately woven cloth, symbolic separation, no figures, no text"
66,التحريم,At-Tahrim,The Prohibition,a locked ornate door in dim light,"an ornate wooden door with a heavy lock, dimly lit hallway, symbolizing restriction, no figures, no text"
67,الملك,Al-Mulk,The Sovereignty,a vast night sky viewed from below a canopy,"a vast starry night sky viewed upward through the silhouette of a tree canopy, sense of dominion and vastness, no figures, no text"
68,القلم,Al-Qalam,The Pen,an old feather quill and inkwell on parchment,"a vintage feather quill resting beside an inkwell on aged parchment paper, warm candlelight, no figures, no text"
69,الحاقة,Al-Haqqah,The Reality,a clear still lake reflecting the sky exactly,"a perfectly still lake reflecting the sky with mirror-like clarity, symbolizing undeniable truth, no figures, no text"
70,المعارج,Al-Ma'arij,The Ascending Stairways,a stone staircase spiraling into clouds,"an ancient stone staircase spiraling upward and disappearing into soft clouds, ascending and infinite, no figures, no text"
71,نوح,Nuh,Noah,a wooden ark on rising floodwaters,"a large wooden ark silhouette on dark rising floodwaters under a stormy sky, dramatic and monumental, no figures, no text"
72,الجن,Al-Jinn,The Jinn,a wisp of smoke forming a subtle shape in moonlight,"an abstract wisp of pale smoke curling into a subtle indistinct shape under moonlight, mysterious and otherworldly, no figures, no text"
73,المزمل,Al-Muzzammil,The Enshrouded One,a folded blanket beside a softly lit window,"a softly folded woolen blanket resting beside a window with pale early morning light, quiet solitude, no figures, no text"
74,المدثر,Al-Muddaththir,The Cloaked One,a cloak draped over a chair in dawn light,"a simple woven cloak draped over a wooden chair, first light of dawn entering through a window, no figures, no text"
75,القيامة,Al-Qiyamah,The Resurrection,cracked earth with a single sprouting light,"dramatic cracked dry earth with a single beam of soft light rising from a crack, symbolizing resurrection, no figures, no text"
76,الانسان,Al-Insan,The Man,a cup of clear water beside blooming silk fabric,"a simple cup of clear water beside flowing silk fabric in soft light, symbolizing generosity and reward, no figures, no text"
77,المرسلات,Al-Mursalat,The Emissaries,winds sweeping visible ripples across a wheat field,"strong winds sweeping visible ripple patterns across a golden wheat field, dynamic and sweeping motion, no figures, no text"
78,النبإ,An-Naba,The Tidings,a dramatic sky split by a shaft of dawn light,"a dramatic layered sky at the moment of dawn, a single bright shaft of light breaking through clouds, momentous mood, no figures, no text"
79,النازعات,An-Nazi'at,Those Who Drag Forth,a sky heavy with dark descending clouds,"a heavy dramatic sky with dark clouds descending low over a barren landscape, tense atmosphere, no figures, no text"
80,عبس,Abasa,He Frowned,a wilted flower beside a thriving one,"a close-up contrast of one wilted flower beside a vibrant thriving flower in the same frame, soft light, no figures, no text"
81,التكوير,At-Takwir,The Overthrowing,the sun dimming behind swirling dark clouds,"a dramatic sun dimming and swirling behind dark storm clouds, apocalyptic but painterly mood, no figures, no text"
82,الإنفطار,Al-Infitar,The Cleaving,a sky cracking open with brilliant light behind,"an abstract sky depicted as if cracking open, brilliant light pouring through the fissures, dramatic, no figures, no text"
83,المطففين,Al-Mutaffifin,The Defrauding,an uneven balance scale in dim light,"an old brass balance scale tilted unevenly, dim moody lighting, symbolizing dishonest measure, no figures, no text"
84,الإنشقاق,Al-Inshiqaq,The Splitting Open,the moon shown splitting with radiant light,"an artistic depiction of the moon appearing to split with radiant light emanating from the crack, symbolic and dramatic, no figures, no text"
85,البروج,Al-Buruj,The Mansions of the Stars,constellations traced in a deep night sky,"a deep night sky with clearly traced bright constellations and star clusters, majestic and vast, no figures, no text"
86,الطارق,At-Tariq,The Morning Star,a single piercing star above a dark horizon,"a single brilliant piercing star above a dark quiet horizon at night, minimal and striking, no figures, no text"
87,الأعلى,Al-A'la,The Most High,a mountain summit above a sea of clouds,"a dramatic mountain summit rising above a sea of clouds at sunrise, transcendent and elevated, no figures, no text"
88,الغاشية,Al-Ghashiyah,The Overwhelming,a vast dark wave cresting under a pale sky,"a vast dramatic ocean wave cresting under a pale overcast sky, overwhelming scale, no figures, no text"
89,الفجر,Al-Fajr,The Dawn,soft pink light breaking over a quiet desert,"soft pink and gold dawn light breaking over a calm empty desert landscape, peaceful and fresh, no figures, no text"
90,البلد,Al-Balad,The City,narrow stone streets of an old hillside town,"narrow winding stone streets of an old hillside town at dusk, warm lantern light in windows, no figures, no text"
91,الشمس,Ash-Shams,The Sun,a brilliant sunrise over open water,"a brilliant radiant sunrise reflecting over calm open water, warm and luminous, no figures, no text"
92,الليل,Al-Layl,The Night,a deep blue starlit sky over silent hills,"a deep blue starlit night sky over silent rolling hills, tranquil and vast, no figures, no text"
93,الضحى,Ad-Duhaa,The Morning Hours,soft warm light filling an empty room,"soft warm morning light filling a simple empty room through a window, gentle and hopeful, no figures, no text"
94,الشرح,Ash-Sharh,The Relief,a tight knot loosening into flowing ribbon,"an abstract close-up of a tight rope knot gently loosening into a flowing ribbon, symbolizing relief after hardship, no figures, no text"
95,التين,At-Tin,The Fig,ripe figs on a sunlit branch,"ripe figs hanging on a sunlit branch with soft green leaves, warm natural light, no figures, no text"
96,العلق,Al-Alaq,The Clot,a single drop of dew forming on a leaf tip,"a macro shot of a single drop of dew forming and about to fall from a leaf tip, delicate beginning of life, no figures, no text"
97,القدر,Al-Qadr,The Power,a radiant night sky brighter than a thousand stars,"an extraordinarily radiant deep night sky filled with dense brilliant stars, more luminous than usual, majestic, no figures, no text"
98,البينة,Al-Bayyinah,The Clear Proof,an open illuminated scroll on a stand,"an open illuminated manuscript scroll resting on a wooden stand, soft warm light, clarity and evidence, no figures, no text"
99,الزلزلة,Az-Zalzalah,The Earthquake,cracked earth with fine fissures spreading,"dramatic close-up of dry earth with fine cracks and fissures spreading outward, tense and powerful, no figures, no text"
100,العاديات,Al-Adiyat,The Courser,dust clouds kicked up on a racing desert trail,"dramatic dust clouds kicked up along an empty desert trail at dawn, sense of swift motion, no figures, no text"
101,القارعة,Al-Qari'ah,The Calamity,a shattering sky with fragments of light,"an abstract dramatic sky depicted as shattering into fragments of brilliant light, intense and startling, no figures, no text"
102,التكاثر,At-Takathur,The Rivalry in World Increase,overflowing piles of coins and jewels fading to dust,"an ornate pile of gold coins and jewels that fades into dust and sand at the edges, symbolizing fleeting wealth, no figures, no text"
103,العصر,Al-Asr,The Declining Day,a long shadow stretching at sunset,"a long dramatic shadow stretching across an empty plain at sunset, symbolizing the passage of time, no figures, no text"
104,الهمزة,Al-Humazah,The Traducer,a cracked mirror reflecting distorted light,"a cracked antique mirror reflecting distorted fragmented light, unsettling mood, no figures, no text"
105,الفيل,Al-Fil,The Elephant,a stormy sky over an ancient battlefield with distant birds,"a dramatic stormy sky over an ancient empty battlefield, a flock of small birds in silhouette overhead, no figures, no text"
106,قريش,Quraysh,Quraysh,a caravan trail of footprints across dunes,"a winding caravan trail of footprints and cart tracks across vast desert dunes, trade and journey mood, no figures, no text"
107,الماعون,Al-Ma'un,The Small Kindnesses,a simple bowl shared between two empty seats,"a simple wooden bowl of food placed on a table between two empty seats, quiet generosity, no figures, no text"
108,الكوثر,Al-Kawthar,The Abundance,a flowing spring surrounded by lush greenery,"an abundant flowing natural spring surrounded by lush green plants, generous and vivid, no figures, no text"
109,الكافرون,Al-Kafirun,The Disbelievers,two separate paths lit by different colored light,"two clearly separate paths diverging under different colored light, one warm one cool, symbolizing distinct beliefs, no figures, no text"
110,النصر,An-Nasr,The Divine Support,crowds of doves rising over a golden city skyline,"a flock of doves rising in silhouette over a warm golden city skyline at sunset, triumphant, no figures, no text"
111,المسد,Al-Masad,The Palm Fiber,a twisted rope fraying and burning at the end,"a twisted palm-fiber rope fraying and smoldering at one end, dark warning mood, no figures, no text"
112,الإخلاص,Al-Ikhlas,The Sincerity,a single perfect circle of light,"a single perfect glowing circle of pure light centered on a plain dark background, minimal and profound, symbolizing oneness, no figures, no text"
113,الفلق,Al-Falaq,The Daybreak,the first crack of light at the horizon,"the very first thin crack of light appearing at a dark horizon just before sunrise, symbolizing daybreak and refuge, no figures, no text"
114,الناس,An-Nas,The Mankind,countless small lights scattered across a dark field,"countless small warm lights scattered like a gathered community across a dark quiet field, symbolizing mankind, no figures, no text"
